足球	足球	4.98
恒星	恒星	4.7222222222
入场券	门票	4.5962962963
宝石	珠宝	4.244444444
类型	种类	4.2407407407
街道	街区	4.0407407407
先例	例子	3.7518518519
法律	律师	3.748
教授	博士	3.6444444444
心理学	学科	3.5888888889
峡谷	景观	3.58
计算机	软件	3.533333333
电影	明星	3.532
英里	公里	3.48
海鲜	龙虾	3.436
精神病院	疯人院	3.416
海鲜	食物	3.355555556
电视	电影	3.352
杯子	餐具	3.3518518519
树木	森林	3.2703703704
海鲜	海洋	3.203703704
货币	市场	3.1962962963
食物	水果	3.166666667
计算机	互联网	3.1481481481
婴儿	母亲	3.12
音乐会	演奏家	3.12
摇滚乐	爵士乐	3.0777777778
歌剧	表演	3.076
国家	公民	3.064
股票	市场	3.024
管理者	办公室	3
心理学	认知	3
红利	报酬	2.9481481481
投资者	收入	2.892
先例	前情	2.8481481481
公司	股票	2.82
联邦调查局	调查	2.7814814815
奖章	英勇	2.766666667
龙虾	食物	2.728
阵雨	洪水	2.724
杯子	咖啡	2.7111111111
列表	类别	2.7074074074
冠军赛	锦标赛	2.662962963
旅程	航程	2.648
医院	基础设施	2.64
杯子	手工艺品	2.6333333333
能源	危机	2.616
设备	制造商	2.6
电视	广播	2.5925925926
酒精	化学	2.584
战斗	击败	2.555555556
火星	科学家	2.533333333
观众	连续剧	2.4962962963
媒介	广播	2.437037037
电影	评论家	2.428
杯子	饮料	2.324
魔术师	巫师	2.318518519
博物馆	剧院	2.296
谋杀	误杀	2.288
政府	危机	2.192592593
小伙子	兄弟	2.176
心理学	抑郁	2.1481481481
心理学	恐惧	2.0814814815
杯子	物质	2.052
消费者	能源	2.036
期刊	协会	2.018518519
壁橱	衣服	1.9518518519
僧侣	圣人	1.918518519
灾难	区域	1.864
偏见	认知	1.84
联邦调查局	指纹	1.8296296296
剧院	历史	1.803703704
先例	认知	1.8
繁殖力	鸡蛋	1.8
家庭	计划	1.76
主教	法师	1.7185185185
杯子	食物	1.716
视频	档案	1.596296296
肥皂剧	歌剧	1.5925925926
消费者	信心	1.5185185185
旅馆	预订	1.4703703704
实践	机构	1.444
食物	准备	1.411111111
武器	秘密	1.3777777778
红利	运算	1.3707407407
先例	信息	1.3518518519
玻璃	金属	1.32
音乐	项目	1.276
玻璃	魔术师	1.228
先例	法律	1.1962962963
注册	安排	1.1962962963
先例	收集	1.1851851852
安排	住宿	1.1444444444
街道	孩子	0.9259259259
歌剧	工业	0.856
僧侣	奴隶	0.608
公鸡	航程	0.325925926
